TARGET_SOURCE:	test_input/Thioesterase.hmm
QUERY_SOURCE:	test_input/Thioesterase.fa
TARGET_INDEX:	(null)
QUERY_INDEX:	(null)
>{T_ID}	{Q_ID}	{T_LEN}	{Q_LEN}	{ALPHA}	{BETA}	{TOTAL_CNT}	{CLOUD_CNT}	{VIT_SC}	{CLOUD_SC}	{VIT_T}	{TRACE_T}	{CL_FWD_T}	{CL_BCK_T}	{MERGE_T}	{REORIENT_T}	{BND_FWD_T}	
0	0	226	501	  20.0000	5	113954	16573	   9.9474	  21.5440	   0.0530	   0.0011	   0.0088	   0.0177	   0.0002	   0.0003	   0.0175	
0	1	226	808	  20.0000	5	183643	9152	   3.5828	   6.5579	   0.0821	   0.0003	   0.0032	   0.0033	   0.0000	   0.0002	   0.0052	
