5 45 7116 80839561 4765879 12764 428200000 24709363
5 55 8218 80579512 4751863 12764 428200000 24709363
5 65 8312 77781167 4577653 12764 428200000 24709363
5 75 7229 59582932 3493326 12764 428200000 24709363
5 85 5219 24127322 1417285 12764 428200000 24709363
5 95 3258 6232570 367210 12764 428200000 24709363
6 45 8658 80805871 4825471 12764 428200000 24709363
6 55 9565 80777985 4833174 12764 428200000 24709363
6 65 9727 80476140 4816540 12764 428200000 24709363
6 75 9292 76986824 4596273 12764 428200000 24709363
6 85 8091 53998678 3219220 12764 428200000 24709363
6 95 6069 18416003 1107699 12764 428200000 24709363
7 45 9254 80795690 4835056 12764 428200000 24709363
7 55 9965 80772095 4853540 12764 428200000 24709363
7 65 10082 80653604 4854977 12764 428200000 24709363
7 75 9899 79465575 4779183 12764 428200000 24709363
7 85 9113 70068470 4199801 12764 428200000 24709363
7 95 7660 38149730 2296407 12764 428200000 24709363
