[0] x: 0	 y: (0, 16)
[1] x: 1	 y: (0, 16)
[2] x: 2	 y: (0, 16)
[3] x: 3	 y: (0, 16)
[4] x: 4	 y: (0, 16)
[5] x: 5	 y: (0, 16)
[6] x: 6	 y: (0, 16)
[7] x: 7	 y: (0, 16)
[8] x: 8	 y: (0, 16)
[9] x: 9	 y: (0, 16)
[10] x: 10	 y: (0, 16)
[11] x: 11	 y: (0, 16)
[12] x: 12	 y: (0, 16)
[13] x: 13	 y: (0, 16)
[14] x: 14	 y: (0, 16)
[15] x: 15	 y: (0, 16)
[16] x: 16	 y: (0, 16)
[17] x: 17	 y: (0, 16)
[18] x: 18	 y: (0, 16)
[19] x: 19	 y: (0, 16)
[20] x: 20	 y: (0, 16)
[21] x: 21	 y: (0, 16)
