TARGET_SOURCE:	test_input/4HBT.hmm
QUERY_SOURCE:	test_input/4HBT.fa
TARGET_INDEX:	(null)
QUERY_INDEX:	(null)
>{T_ID}	{Q_ID}	{T_LEN}	{Q_LEN}	{ALPHA}	{BETA}	{TOTAL_CNT}	{CLOUD_CNT}	{VIT_SC}	{CLOUD_SC}	{VIT_T}	{TRACE_T}	{CL_FWD_T}	{CL_BCK_T}	{MERGE_T}	{REORIENT_T}	{BND_FWD_T}	
0	0	78	120	20.000000	5	9559	975	-12.003110	-8.487094	0.001408	0.000006	0.000147	0.000208	0.000022	0.000026	0.000207	
0	1	78	120	20.000000	5	9559	1661	-9.557486	-6.511594	0.001274	0.000014	0.000139	0.000227	0.000040	0.000027	0.000261	
0	2	78	392	20.000000	5	31047	4006	12.259161	15.236681	0.003338	0.000014	0.000574	0.001177	0.000033	0.000074	0.001151	
